symbol,catalog,level1_code,level1_name,level2_code,level2_name
688321,TDXRSHY,X27,医药医疗,X270101,化学制剂
688325,TDXRSHY,X40,电子,X400103,集成电路设计
688336,TDXRSHY,X27,医药医疗,X270203,抗体
688337,TDXRSHY,X32,机械设备,X320201,仪器仪表
688338,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688363,TDXRSHY,X27,医药医疗,X270701,医美耗材
688365,TDXRSHY,X42,计算机,X420202,行业应用软件
688366,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688369,TDXRSHY,X42,计算机,X420202,行业应用软件
688378,TDXRSHY,X32,机械设备,X320399,其他专用设备
688393,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688399,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688468,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688488,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688536,TDXRSHY,X40,电子,X400103,集成电路设计
688553,TDXRSHY,X27,医药医疗,X270101,化学制剂
688566,TDXRSHY,X27,医药医疗,X270101,化学制剂
688578,TDXRSHY,X27,医药医疗,X270203,抗体
688586,TDXRSHY,X31,国防军工,X3102,航空装备
688595,TDXRSHY,X40,电子,X400103,集成电路设计
688606,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688613,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688617,TDXRSHY,X27,医药医疗,X270302,医疗设备
688625,TDXRSHY,X12,化工,X120505,塑料助剂
688656,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688658,TDXRSHY,X27,医药医疗,X270101,化学制剂
688683,TDXRSHY,X40,电子,X400201,消费电子组件
688685,TDXRSHY,X31,国防军工,X3102,航空装备
688687,TDXRSHY,X27,医药医疗,X270205,基因药物
688722,TDXRSHY,X12,化工,X120299,其他化学纤维
688798,TDXRSHY,X40,电子,X400103,集成电路设计
688981,TDXRSHY,X40,电子,X400105,半导体制造
